id	smiles	inchi	inchi_key	mol_weight
1	Cc1ccccc1	InChI=1S/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3	YXFVVABEGXRONW-UHFFFAOYSA-N	92.1384
2	NC(=O)O	InChI=1S/CH3NO2/c2-1(3)4/h2H2,(H,3,4)	KXDHJXZQYSOELW-UHFFFAOYSA-N	61.04
3	OCCO	InChI=1S/C2H6O2/c3-1-2-4/h3-4H,1-2H2	LYCAIKOWRPUZTN-UHFFFAOYSA-N	62.0678
5	CN(C)C=O	InChI=1S/C3H7NO/c1-4(2)3-5/h3H,1-2H3	ZMXDDKWLCZADIW-UHFFFAOYSA-N	73.0938
6	CCOCC	InChI=1S/C4H10O/c1-3-5-4-2/h3-4H2,1-2H3	RTZKZFJDLAIYFH-UHFFFAOYSA-N	74.1216
14	c1cocn1	InChI=1S/C3H3NO/c1-2-5-3-4-1/h1-3H	ZCQWOFVYLHDMMC-UHFFFAOYSA-N	69.062
15	[CaH2]	InChI=1S/Ca.2H	FAQLAUHZSGTTLN-UHFFFAOYSA-N	40.078
16	c1ccncc1	InChI=1S/C5H5N/c1-2-4-6-5-3-1/h1-5H	JUJWROOIHBZHMG-UHFFFAOYSA-N	79.0999
17	[CH2]CCCCC	InChI=1S/C6H13/c1-3-5-6-4-2/h1,3-6H2,2H3	PQGAHNJECSVDEI-UHFFFAOYSA-N	85.1674
18	CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)O	InChI=1S/C20H28N2O5/c1-3-27-20(26)16(12-11-15-8-5-4-6-9-15)21-14(2)18(23)22-13-7-10-17(22)19(24)25/h4-6,8-9,14,16-17,21H,3,7,10-13H2,1-2H3,(H,24,25)/t14-,16-,17-/m0/s1	GBXSMTUPTTWBMN-XIRDDKMYSA-N	376.447
19	[CH2]c1ccccc1	InChI=1S/C7H7/c1-7-5-3-2-4-6-7/h2-6H,1H2	SLRMQYXOBQWXCR-UHFFFAOYSA-N	91.1305
20	N	InChI=1S/H3N/h1H3	QGZKDVFQNNGYKY-UHFFFAOYSA-N	17.0305
22	O=P(O)(O)O	InChI=1S/H3O4P/c1-5(2,3)4/h(H3,1,2,3,4)	NBIIXXVUZAFLBC-UHFFFAOYSA-N	97.9952
25	O=C([O-])[O-].[Na+].[Na+]	InChI=1S/CH2O3.2Na/c2-1(3)4;;/h(H2,2,3,4);;/q;2*+1/p-2	CDBYLPFSWZWCQE-UHFFFAOYSA-L	105.988
26	O=C(O)O.[NaH]	InChI=1S/CH2O3.Na.H/c2-1(3)4;;/h(H2,2,3,4);;	GGARREBOTNGFKS-UHFFFAOYSA-N	85.0145
28	[CH2]Cc1ccccc1	InChI=1S/C8H9/c1-2-8-6-4-3-5-7-8/h3-7H,1-2H2	KRTGJZMJJVEKRX-UHFFFAOYSA-N	105.157
29	CCc1ccccc1	InChI=1S/C8H10/c1-2-8-6-4-3-5-7-8/h3-7H,2H2,1H3	YNQLUTRBYVCPMQ-UHFFFAOYSA-N	106.165
30	CCN(CC)CC	InChI=1S/C6H15N/c1-4-7(5-2)6-3/h4-6H2,1-3H3	ZMANZCXQSJIPKH-UHFFFAOYSA-N	101.19
31	CC(N)C(=O)O	InChI=1S/C3H7NO2/c1-2(4)3(5)6/h2H,4H2,1H3,(H,5,6)	QNAYBMKLOCPYGJ-UHFFFAOYSA-N	89.0932
32	C[C@H](N)C(=O)O	InChI=1S/C3H7NO2/c1-2(4)3(5)6/h2H,4H2,1H3,(H,5,6)/t2-/m0/s1	QNAYBMKLOCPYGJ-REOHCLBHSA-N	89.0932
